"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
131.575501815269 266 1959
131.166247819407 263 1879
136.308248221051 284 1880
147.795129784507 284 2089
311.694303164761 447 5580
119.133720682208 255 2377
193.17467221656 308 1796
205.375721008084 341 2987
401.879701330331 482 5804
113.951242759384 248 1300
160.875366451895 293 2348
160.125665476515 278 1340
99.3356151511775 247 1828
193.817835007581 336 2840
220.957533108673 369 3906
219.609782256427 355 2903
186.651214499635 322 1908
171.212786572872 305 1889
177.269812943323 300 2573
200.145662756754 339 2668
119.363576763466 267 1923
101.530134698344 268 1246
221.044075077181 343 2859
136.287376355621 295 1440
280.346604185425 408 4058
191.87290352156 330 2214
209.640171187339 341 3594
132.81746758429 251 1163
149.354067189582 279 1860
95.3732354448295 247 1154
55.620766350799 181 537
168.09771005274 297 2869
146.852822110407 276 2257
194.294570557266 331 2526
99.4838988661558 238 1062
196.068337674107 344 3060
79.8509458264273 222 1056
150.551257011903 296 1588
280.772786863788 406 5505
119.76519940521 263 1904
311.349364517944 428 4129
170.204162260694 325 2872
193.408227087567 336 2604
136.413271349165 288 1348
256.937419602058 368 3177
134.105065133265 244 1510
288.89702627953 401 3865
199.934691654551 323 2758
170.874668956956 300 2565
307.994926173264 405 4732
265.837637224805 401 4616
104.166401130028 241 1070
161.332909588945 307 2151
154.343620051563 313 2760
309.187281729829 415 4474
112.818218246025 283 2157
196.12800202495 324 2272
146.311070664623 279 2487
123.756992870439 248 1166
73.1981847318537 206 534
137.289364612208 285 1492
151.831640298142 295 2031
38.3646813684234 133 149
200.376100903474 336 2053
156.276502153797 287 2183
171.577376227949 306 2294
272.24210302494 390 4469
162.592761096821 289 1421
75.188020174533 203 651
187.580484327582 321 2634
241.699353114056 353 2897
132.79076790086 263 2344
316.068338236022 418 4183
299.233857127766 417 4529
242.129784666901 400 4902
200.223715529063 341 3211
173.652899699778 319 1752
98.8524500762423 232 663
255.069362018698 393 4245
86.6130173309859 218 771
322.163585353475 427 4144
251.193533088644 376 4522
122.929645903644 261 2172
81.5826253376195 227 1269
209.954262753581 360 3678
329.631395277123 448 4978
136.538519384569 288 1939
409.831396238022 503 6047
99.7778432124129 246 1265
48.867377762735 170 660
146.231686118575 273 2438
243.193684602805 379 3739
160.001508380096 303 1367
172.328554633113 304 2788
97.2138601067511 224 641
123.613465223811 279 1768
77.9527061027798 214 656
140.465987798874 282 1606
261.566424248412 407 3675
168.49607575581 287 1343
193.81398446412 302 2815
223.827298313244 343 3356
165.311207700056 300 1794
168.555096933115 330 2895
197.269429457114 340 3824
147.762743120593 288 2131
197.233433945698 346 2756
93.2230048098662 237 923
115.56720856775 269 1533
129.780347944806 256 1505
231.079826332502 348 2998
88.0067114689191 220 563
94.0728006735997 254 1877
120.829061526675 251 1247
105.543298335083 229 810
217.65320793863 366 3600
156.37950675336 304 2500
120.739422552573 262 1071
97.9033570211408 240 956
238.635451419371 374 3462
218.684076316101 338 2790
102.097641649894 257 1679
174.009723985491 320 1823
97.3410716829801 230 864
143.220269676143 271 2033
156.834781963247 309 2442
182.084575147888 327 2341
263.125986062424 388 3715
251.163977044949 383 4327
172.976851954694 306 2595
138.257488397477 273 2082
203.451203211729 324 2872
141.227301393894 282 2109
130.208504144153 263 2367
162.231602005104 307 2260
255.771050831024 375 3049
201.277062649807 326 2811
66.7836974464081 192 543
132.190146839241 268 1227
264.248926583924 376 3634
183.212143162202 301 2186
162.422292370323 296 2361
112.359769680195 278 2504
211.35970442553 332 2896
110.318630954811 242 1131
142.294999963025 266 1840
161.835387555843 291 2294
122.63681743833 265 1552
358.09858842465 463 4591
102.117328017949 276 1226
103.930468701477 256 1833
148.106838557385 294 2046
157.244245819254 292 1855
165.94570643607 306 1902
323.832973911872 448 5060
150.258823912105 317 1622
47.4216921595376 182 488
196.279368681333 335 3490
287.017107281624 410 4377
163.902908740305 280 2437
142.929951097994 285 2144
197.403203932465 340 2465
115.346385822763 276 1256
94.2041850311041 230 1556
98.444868170845 250 1262
106.387381167865 229 1426
80.42227853932 234 761
102.470889209452 232 1788
316.515779374532 447 5908
93.2958957630562 225 1277
126.000394256539 284 1227
363.022170347262 471 6187
57.121750080893 173 498
139.093190807516 279 1320
135.431471650295 276 1143
112.767768228585 279 1310
143.550230234518 286 1776
162.333549801854 283 2661
90.4725250025092 234 1210
301.056175666369 434 4181
68.1786080338685 231 954
146.838978487413 293 2342
91.386289438578 245 1061
204.322846883807 351 3349
120.463777699479 293 1668
209.237834878199 337 2853
247.565192988669 364 3794
124.694489780406 237 1900
204.679721339256 342 3101
309.245799318327 421 4730
73.7928647717461 203 744
277.119736138665 387 3466
168.894666485451 299 2073
101.962116445103 234 1772
279.861362207294 407 4714
200.634655197212 345 2635
77.8035164049078 246 948
68.542545107021 242 1174
162.52093752632 302 2351
179.815030482997 313 2266
114.124410373692 257 2001
211.551806798599 364 3674
85.4879613232417 231 1124
110.827939167838 232 753
163.283122400993 316 3434
142.591884805345 292 2289
61.3318061894855 205 672
285.442017992492 392 3496
152.015970481643 277 1555
100.495140411469 243 1369
135.067660370451 295 1816
101.334133241614 255 1229
118.358926882244 267 1554
213.114237711152 353 3573
104.078635152051 244 1265
221.700574958781 358 3781
174.190423647198 298 2304
162.278460235764 304 2922
93.7846865959774 213 622
309.204741551051 422 3667
159.932318473533 284 2231
88.2884777699243 225 1231
216.51097302639 359 2573
126.074541777379 243 2288
236.304719519621 369 3101
256.714043232278 386 3572
131.107740422052 296 1570
104.365853246619 245 848
233.421409459592 347 3633
444.399863012757 516 5564
180.071634665795 308 2709
243.271893071785 368 3335
83.2855464062221 200 670
292.030397898132 401 4667
137.254545073132 277 1622
250.316640072094 393 3575
202.182000970516 315 3089
244.447131781316 360 3960
52.7843610267741 190 901
303.620460661387 415 4788
92.0249577509892 241 934
190.659546185583 328 2086
94.018479302241 240 785
497.554961219675 558 6655
294.124944632942 415 4281
101.357999836732 250 1057
140.005625951721 275 1610
134.483496626913 283 1446
141.961084237735 283 2948
150.377627547008 285 1413
197.601674513106 343 2348
61.447223929105 198 713
248.316495608036 354 2882
135.910054029171 288 1458
142.589945920466 293 1494
179.735289494335 321 2493
125.139363881379 250 1029
266.372947076039 396 4252
283.636547416738 405 3938
118.764304784651 247 1476
199.100151495412 318 2811
158.402484574336 322 2648
344.277368016047 464 6129
211.138157473016 342 3030
112.850095554518 277 1487
87.3440636309253 223 1036
234.245483416014 367 3842
266.275765949528 370 3093
215.450351630843 335 2806
167.679443138156 315 1789
164.949357408815 335 2549
71.1763509739087 219 1105
201.580520759877 353 3461
190.531267036133 326 2766
179.805311180843 325 2101
112.31319311637 277 1247
219.154176129134 358 3402
187.918074780733 335 2694
243.660170287214 377 3364
217.524185678065 357 3489
78.4060346945264 211 1053
268.479013750813 389 3836
135.077362573392 281 1151
175.413402303067 312 2104
245.625367529894 369 3324
169.910342572959 312 2398
151.701341800308 279 2058
114.735820088736 247 986
67.4567751683916 182 335
119.729264071689 253 1416
205.983877098219 340 3395
115.212326706865 252 1275
164.04393262554 287 2287
151.737315464734 275 2111
201.521407641602 329 2616
171.602203554001 335 2481
165.473273058924 312 2446
191.267200250935 322 2250
136.810442404736 258 2719
175.435818674398 313 2092
164.982518753802 302 2970
149.987017695263 305 2079
169.11213236744 317 3061
144.880534863361 269 1804
100.17060711704 246 991
231.16913148266 362 2691
73.3235070926816 195 866
169.48011686634 312 1400
195.557639387466 332 3414
219.222283651266 336 3061
173.868440421763 316 2339
185.007369734922 312 1813
112.633630247913 240 666
70.2926900437119 189 345
92.9678566621263 235 927
174.76326567134 306 2182
205.668950387529 333 2262
117.652515575613 265 1246
70.5580976780294 201 557
221.182443537001 345 3247
175.909939690635 309 2880
114.352844575236 252 865
193.092319393059 314 2480
167.139757325788 321 2422
181.243820713753 312 1572
160.445623283872 298 3104
174.876671979087 310 2156
120.024681423112 246 914
126.244721213278 257 1293
179.360883864236 310 2380
83.4416807879214 232 907
133.269404548674 274 1432
201.941529719074 320 2894
38.5566942393771 163 552
329.02522358787 446 5245
238.281411361011 364 3085
198.796153983685 326 2749
100.354470503745 245 1542
338.171569033897 445 4208
259.404962653585 372 3083
139.281235170184 300 1588
86.7825816467687 236 926
149.166297772601 277 1569
143.802546013635 304 1784
94.4446190165833 228 1253
71.0022236764909 216 806
189.504295565877 332 2743
212.524638502737 337 2966
284.20125527412 383 3421
228.57529901506 356 2777
200.074477231581 331 2558
202.925246282856 318 3680
196.089444640802 326 2129
230.267087253168 362 4293
160.991805434171 315 1850
108.43573985768 249 1402
97.4162765031829 243 1855
135.945634260235 281 1603
82.809149007279 226 1270
48.7700988151154 180 624
179.183069910085 340 2858
160.646843959761 280 1854
181.89172467346 325 2268
103.50629671962 263 1309
156.227826936332 301 2421
115.478939576643 251 1179
135.718461156515 276 1922
97.6182246705305 228 717
200.541762001365 324 2491
70.3530628753688 203 376
453.71958363903 533 5998
194.896667008607 312 2789
125.410416402992 279 1349
135.943533112463 293 1390
170.339513565063 311 2621
126.349290482597 258 1206
346.332390888577 468 5740
149.105246065007 305 2718
143.04108435268 300 1630
147.238277043256 290 2843
171.864564199734 329 1984
152.231343166035 304 2039
223.82682995586 338 2998
248.321612645154 364 4400
163.696912656604 284 2006
275.841230315655 414 4560
235.871359727949 351 3451
96.373475715768 227 1088
160.422560101212 328 2689
201.472493743034 350 3064
93.4231846025113 234 1630
75.098998287587 213 612
127.220115908291 295 2591
106.471483769688 247 856
238.554549579189 361 3119
115.617813276343 235 1526
356.162439164385 446 4957
198.034662633069 352 2390
75.1511800446554 209 935
242.144503127887 364 3422
160.946672589679 297 2853
217.808984983919 348 3117
220.894742584152 345 3766
181.561603579537 321 2396
184.940611676576 324 3104
161.45012374075 303 2170
191.347634157122 318 2409
232.374011879881 371 3119
98.2985682978695 242 820
198.634935024243 302 1550
294.997309096796 415 4157
263.571908703454 392 4988
126.30421328205 276 1470
230.24163075585 363 2634
191.629217008031 303 1990
134.121696453227 272 1073
93.1082990767589 234 1046
291.689043071879 397 4526
341.652880240017 444 4531
279.887344757653 406 4466
134.685786793201 271 1221
112.726462117887 263 1210
134.511939775169 294 2071
103.810623520185 247 1583
134.610053004375 301 1390
86.3683653075594 219 1612
261.892455218545 392 4452
74.9406800274945 212 1122
172.489694666641 316 2583
311.248422202954 434 4354
246.583473790917 367 3018
228.675507504796 357 3251
85.7890152090939 226 1137
243.498232644697 346 2641
311.219031955628 438 5301
256.612666870668 381 3971
93.7112132792704 233 1041
125.947803438469 261 2055
241.643183083577 343 3506
175.620322945268 312 2163
164.186585289877 294 1951
250.087523480014 366 2787
178.217297020597 313 1551
298.707670617377 406 3766
206.510032094913 333 2381
174.887316283118 302 1732
85.2779676970684 236 1168
147.011994530032 286 1487
127.122379705677 282 1382
276.49010325153 390 3809
169.483990533494 300 1971
113.516770792417 237 910
309.313721684021 430 5362
49.0911960277145 168 561
169.250033877892 322 2577
209.050760484818 333 2983
123.124665066156 271 1447
83.7788883449404 214 1024
184.315625905073 322 2072
101.683302180871 239 1131
179.83236195578 318 2674
66.9870664279973 199 521
123.868034272563 292 1610
92.8991541507406 262 1200
42.253885860415 209 859
178.073491905132 292 1892
177.81597159255 302 2494
110.065393092629 250 1932
213.137034138405 345 3586
195.311560467224 305 2381
141.330713698279 271 1111
154.580137811431 293 2592
161.039984913865 293 2353
178.03081518316 308 2288
60.187753267298 198 996
143.616809688331 272 1722
165.185013217142 316 2476
100.5257460089 237 908
109.161457263233 233 1835
210.176012286003 350 2849
260.797167081798 402 4175
327.92758200359 454 4723
144.402566648406 281 1107
165.330576035827 316 2257
211.610877265948 346 3830
225.485366702846 353 2275
166.169427454109 279 1819
208.693515171209 346 1858
128.490576857872 253 1271
187.146142960354 330 2586
159.290823474235 286 2345
233.072999756797 364 2873
265.445369940665 380 2417
104.09597062103 252 1565
221.180839200022 351 2311
268.371237791946 400 4131
234.78856594897 363 3291
195.768058917956 340 3737
170.025662050832 308 2411
135.166053811423 256 1073
230.383400639325 338 2810
220.065984284636 356 3351
133.301250609528 262 1101
165.434160288545 317 2493
148.500169386093 273 1638
166.493374254791 287 2393
180.042201223972 321 1929
134.560746739242 258 1528
151.831723801983 270 2410
97.928333289217 276 1158
309.581390802621 416 3567
216.339306995777 336 3467
90.3596627622333 249 886
125.864637759772 272 1417
195.994526410307 314 3124
91.509571472318 230 1234
123.750649537014 285 1570
270.89527715509 395 4250
175.949704236174 305 2544
172.879747704667 323 2609
108.27610738013 236 1449
273.238212122654 392 4116
135.040780811691 303 2099
138.409747958401 265 1881
97.6760249860339 239 1344
178.709820560385 322 2570
172.019918502911 310 1308
148.118721188634 285 1276
127.957350904772 290 1772
223.543292680903 333 2476
230.580810667495 349 3026
141.805193099837 303 2012
167.061667522121 299 1457
193.469546026729 312 2938
173.093849524994 328 2819
190.410575500258 313 2213
71.9950176340829 232 1071
152.465295931954 287 1980
137.907484141668 292 1796
79.011734365786 180 1125
191.036123230624 315 1975
337.391773899801 442 4849
148.587394527882 280 1964
254.122436681793 362 2704
192.070938431971 335 1904
105.041590103082 245 693
136.928940618883 279 1286
69.1151632158463 197 981
320.378117949106 426 4443
160.204742016862 302 2105
114.276667297948 252 1694
131.634657380225 277 1543
212.101934049592 329 2252
131.737436905542 276 1813
115.301164779151 251 1747
233.679160652949 371 3474
208.152834009024 324 2736
215.016456185841 352 3305
193.11463748223 323 2832
89.0479236624674 235 953
248.532069194108 364 3933
197.438550799721 328 1700
235.876105436212 370 3296
94.8588926500787 235 1162
142.18462172949 284 1795
122.049069126212 277 2197
218.664043455056 340 2827
281.271543270383 400 4434
136.952225758113 281 1722
157.039888247521 308 2489
266.997399386609 381 4288
135.114530563984 277 1848
142.708384443726 279 1730
171.330254737958 311 3748
144.273098922958 315 2266
172.256130494475 319 2552
90.6244547415734 237 1180
94.8167305201386 230 1255
138.235617409643 273 1535
114.43409546061 286 2003
95.924774834422 214 756
132.214915931618 294 1585
172.323053863899 304 2982
136.682745896605 272 1380
92.6994240992663 220 1159
153.090154475228 288 1810
265.005867151663 384 3896
112.466870117813 271 1449
252.061143059065 372 2849
494.236533624702 550 6698
183.72886761514 311 2099
243.961801148732 356 3363
162.928998603412 305 1917
248.827322376327 358 2973
49.5538120015577 166 294
78.7919309907957 226 1070
100.910531927206 237 848
106.453677021197 230 1406
128.832852920319 268 1231
178.160000305442 320 2912
99.5154391354897 238 1443
118.581965726449 276 1396
210.763022299065 373 4572
212.850444722692 346 2599
118.492100743622 258 1393
219.199950834541 349 2310
278.627834295981 379 3033
154.463629228599 296 2434
203.143401268854 348 2830
140.933318433919 259 1069
142.722973966985 292 1539
95.7861564201995 229 1519
178.914260642851 321 3124
210.867333153626 329 3268
110.693339377302 237 895
145.329749368424 277 2085
84.7956676647336 233 1085
298.59019199218 410 4288
198.101005205114 337 3529
195.137312627109 346 3309
73.2647051774278 214 1040
248.615353450403 367 2911
143.659857458509 269 1239
133.763445100218 283 1505
185.379168026916 293 1678
238.53913330349 367 3905
244.225083575953 361 2996
