"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
0 22 0
7.37438998908198 42 190
0 22 0
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
21.6731690647981 76 463
0 22 0
0 22 0
0 22 0
0 22 0
1.05156078194115 33 55
7.37438998908198 42 190
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
7.37438998908198 42 190
11.5263771814855 54 199
0 22 0
0 22 0
0 22 0
16.3088782409959 60 346
0.187183419031434 25 3
0 22 0
4.00620329812321 40 153
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0.421495422381506 28 15
0 22 0
0 22 0
11.5831230679718 43 210
2.56135724059562 38 120
0 22 0
0 22 0
0 22 0
0 22 0
2.1093246222749 37 105
2.86665384052647 31 16
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
0.747225012266748 31 36
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
11.5831230679718 43 210
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
15.8873883179268 64 310
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.258149075871287 26 6
1.24446276207981 34 66
11.5831230679718 43 210
0 22 0
0.887926190185333 32 45
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
2.56135724059562 38 120
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
2.1093246222749 37 105
0 22 0
11.5831230679718 43 210
0 22 0
12.6079465614587 46 213
0.187183419031434 25 3
0 22 0
0 22 0
0.335755098788103 27 10
0 22 0
0 22 0
5.26953859660825 41 171
0 22 0
0 22 0
0 22 0
0 22 0
0.517125552264241 29 21
10.3111340410161 56 273
4.00620329812321 40 153
1.75738920454671 36 91
7.37438998908198 42 190
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
35.4443986505476 82 571
0 22 0
0 22 0
18.4156102266715 61 361
11.5831230679718 43 210
5.26953859660825 41 171
14.2474122696682 56 288
0 22 0
0 22 0
0 22 0
0.887926190185333 32 45
0 22 0
12.9953003186078 49 225
0 22 0
2.56135724059562 38 120
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
10.2042448648168 51 196
0 22 0
0 22 0
0 22 0
0 22 0
11.3726511380757 60 271
5.26953859660825 41 171
0 22 0
4.00620329812321 40 153
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
8.18866200571752 52 172
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0.121497367330098 24 1
0 22 0
0 22 0
2.56135724059562 38 120
0 22 0
25.0939898560026 77 479
0 22 0
0 22 0
23.398892324212 63 400
11.5831230679718 43 210
0 22 0
0 22 0
11.5831230679718 43 210
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.2124473022612 53 225
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
0 22 0
13.2636519150893 51 238
1.75738920454671 36 91
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
2.56135724059562 38 120
0 22 0
0 22 0
23.398892324212 63 400
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.747225012266748 31 36
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
23.398892324212 63 400
11.5831230679718 43 210
12.3457297429057 67 296
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
5.26953859660825 41 171
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0.517125552264241 29 21
0 22 0
0 22 0
0 22 0
0 22 0
9.55572013653756 50 131
11.5831230679718 43 210
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
2.56135724059562 38 120
0 22 0
0 22 0
7.37438998908198 42 190
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
5.26953859660825 41 171
0 22 0
0 22 0
12.5603264208031 62 257
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
5.26953859660825 41 171
12.008485721743 58 307
5.26953859660825 41 171
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
2.56135724059562 38 120
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
3.16359103616738 39 136
5.84248290415684 46 133
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.887926190185333 32 45
0 22 0
0 22 0
4.00620329812321 40 153
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
25.4506205709103 67 406
11.5831230679718 43 210
0 22 0
0.335755098788103 27 10
7.37438998908198 42 190
0 22 0
0.747225012266748 31 36
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
0 22 0
0.517125552264241 29 21
0 22 0
0 22 0
0 22 0
10.8257725492615 57 295
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
11.5831230679718 43 210
0 22 0
9.31579622356375 53 245
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
1.53086682835923 27 4
0 22 0
0 22 0
0.258149075871287 26 6
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
5.26953859660825 41 171
0.258149075871287 26 6
7.37438998908198 42 190
0 22 0
21.8132337361758 70 361
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.747225012266748 31 36
0 22 0
0.624796724373394 30 28
0 22 0
0 22 0
0 22 0
4.00620329812321 40 153
11.5831230679718 43 210
0 22 0
0 22 0
0.121497367330098 24 1
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
13.5779854670111 53 255
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.624796724373394 30 28
11.5831230679718 43 210
2.56135724059562 38 120
16.3088782409959 60 346
0 22 0
0 22 0
0 22 0
0 22 0
1.75738920454671 36 91
0 22 0
13.9849744659314 55 276
0 22 0
0 22 0
7.37438998908198 42 190
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
1.24446276207981 34 66
0 22 0
0 22 0
0 22 0
35.4443986505476 82 571
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
28.0929325274816 78 499
0 22 0
4.00620329812321 40 153
0.335755098788103 27 10
0 22 0
0 22 0
0 22 0
4.1900152711439 35 36
0 22 0
0.421495422381506 28 15
2.56135724059562 38 120
11.5831230679718 43 210
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
5.26953859660825 41 171
0.258149075871287 26 6
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
15.5357115463557 59 330
0.187183419031434 25 3
23.398892324212 63 400
0 22 0
0 22 0
10.1909584524733 57 291
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
14.5712897083757 57 301
0 22 0
11.5831230679718 43 210
0 22 0
11.5831230679718 43 210
18.4156102266715 61 361
0.517125552264241 29 21
7.37438998908198 42 190
21.9998917253567 68 354
0 22 0
0.335755098788103 27 10
0 22 0
1.05156078194115 33 55
0 22 0
0 22 0
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
0 22 0
11.5831230679718 43 210
15.6666136213756 58 199
17.4756785887392 61 363
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
23.398892324212 63 400
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0.121497367330098 24 1
1.75738920454671 36 91
5.26953859660825 41 171
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.624796724373394 30 28
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
0.258149075871287 26 6
8.25064577490514 46 196
0 22 0
0 22 0
0 22 0
1.05156078194115 33 55
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
11.4277270773513 65 307
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.887926190185333 32 45
0 22 0
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
20.5316521681482 73 424
1.24446276207981 34 66
0 22 0
0 22 0
0 22 0
0.747225012266748 31 36
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
14.6019004539536 60 343
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
3.53271965866317 41 83
0 22 0
0 22 0
5.26953859660825 41 171
11.5831230679718 43 210
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
23.398892324212 63 400
0 22 0
0 22 0
3.16359103616738 39 136
0 22 0
5.26953859660825 41 171
4.00620329812321 40 153
0 22 0
0 22 0
17.4756785887392 61 363
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
2.1093246222749 37 105
4.00620329812321 40 153
7.37438998908198 42 190
11.5831230679718 43 210
0 22 0
17.4756785887392 61 363
5.26953859660825 41 171
0 22 0
7.37438998908198 42 190
0 22 0
6.94606066839978 43 100
11.5831230679718 43 210
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0.121497367330098 24 1
7.37438998908198 42 190
7.37438998908198 42 190
0 22 0
4.00620329812321 40 153
18.4156102266715 61 361
0 22 0
23.398892324212 63 400
0 22 0
11.5831230679718 43 210
3.16359103616738 39 136
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
1.05156078194115 33 55
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
2.56135724059562 38 120
0.121497367330098 24 1
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
23.398892324212 63 400
0 22 0
1.47548244825835 35 78
0 22 0
0 22 0
1.05156078194115 33 55
0 22 0
0.624796724373394 30 28
18.4156102266715 61 361
0 22 0
2.56135724059562 38 120
0 22 0
2.1093246222749 37 105
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
2.1093246222749 37 105
11.5831230679718 43 210
7.37438998908198 42 190
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
0 22 0
5.26953859660825 41 171
4.00620329812321 40 153
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
16.3088782409959 60 346
0 22 0
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.421495422381506 28 15
0 22 0
0 22 0
0 22 0
0 22 0
17.4756785887392 61 363
0 22 0
0 22 0
5.26953859660825 41 171
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0 22 0
0.121497367330098 24 1
15.661123546445 59 324
5.26953859660825 41 171
11.5831230679718 43 210
0 22 0
0 22 0
0 22 0
7.37438998908198 42 190
0 22 0
0 22 0
4.00620329812321 40 153
0 22 0
0 22 0
0 22 0
