"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
362.305149378351 408 3743
363.580871735317 397 3636
168.395351119515 274 1567
251.317304322307 327 2331
169.671073476481 279 1917
230.905746610851 309 2049
378.88954001891 399 3465
414.609766013958 439 3976
445.227102581143 461 4945
479.671606219226 478 4750
183.704019403108 276 1798
335.514979882065 375 2861
307.449088028812 359 2793
229.630024253885 314 1873
385.26815180374 412 4126
257.695916107137 330 2456
310.000532742744 355 2736
436.297046082381 452 4667
321.482033955438 364 3056
236.008636038715 311 2325
278.107473818594 332 2236
128.847958053569 237 966
398.0253753734 414 3543
191.358353544904 286 1865
586.832284204372 550 5970
211.76991125636 296 2187
346.996481094759 382 3397
299.794753887016 345 2759
355.926537593521 389 3465
558.766392351119 536 6034
475.844439148327 473 4873
412.058321300026 431 4124
301.070476243982 358 3097
250.041581965341 314 2479
382.716707089808 412 3733
468.190105006531 477 5031
377.613817661944 420 4095
315.103422170608 363 3301
205.39129947153 283 1449
404.40398715823 429 4309
266.625972605899 333 2783
234.732913681749 306 1597
436.297046082381 444 4237
239.835803109613 314 2118
207.942744185462 293 1440
438.848490796313 444 4219
480.947328576192 477 4837
170.946795833447 262 1197
287.037530317356 347 3014
274.280306747695 331 2574
339.342146952963 386 3489
207.942744185462 289 2056
165.843906405583 264 1478
244.938692537477 324 2622
112.26356741301 234 861
179.87685233221 275 1576
281.934640889492 335 1767
469.465827363497 474 4913
483.498773290124 485 5305
304.89764331488 353 2734
503.91033100158 495 4989
382.716707089808 414 3668
306.173365671846 352 2680
276.831751461628 325 2121
270.453139676797 340 2970
389.095318874638 415 4017
341.893591666895 376 3099
215.597078327258 299 1864
399.301097730366 421 4073
192.63407590187 285 1680
339.342146952963 380 3088
227.078579539953 296 1772
386.543874160706 415 3554
335.514979882065 375 3102
274.280306747695 335 2074
357.202259950487 388 3380
315.103422170608 369 3346
229.630024253885 308 1821
237.284358395681 304 2024
437.572768439347 449 4412
241.111525466579 311 1897
155.638127549855 256 1360
468.190105006531 469 4629
339.342146952963 390 3639
