"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
32.3822442718113 97 348
31.9985590876698 94 314
64.6564208196592 118 509
24.2406616159316 75 92
107.654686993276 159 932
70.7058355454846 133 702
63.4449197828935 122 631
21.9079375237001 74 192
67.7374543053157 121 617
90.4073441129439 153 837
33.3176299327844 102 311
44.6598361945464 107 391
80.9704939893621 151 774
49.9944295719933 106 474
63.1566938595255 117 464
53.4138680958634 111 563
43.6415993188597 113 354
51.3791524464858 104 626
42.7544890738943 107 247
58.6233217689989 109 266
44.2028679515879 105 263
45.4047648368498 106 460
112.958081669038 170 1028
94.1289991150754 149 741
32.2503324387589 94 184
25.5051695070684 74 94
44.1515722728181 107 476
14.3214898741272 65 58
97.4590477115113 154 814
12.6582560923219 67 224
51.1240139703729 121 354
82.05553254246 134 724
74.5010492374245 130 694
33.2927226322506 88 236
39.3479375562159 99 327
10.2172133270608 63 65
15.9057485337292 78 107
58.2379020723337 119 536
56.4638195581072 115 403
34.8135934363674 96 288
102.740306351687 156 837
26.9949837951933 97 308
88.791825511697 148 447
66.3292991322571 129 624
56.6330501392152 115 453
68.529133551121 125 647
34.4068440232317 91 352
28.5057194898211 87 280
31.5461852518266 86 259
37.9377518985819 97 268
25.77075371086 79 115
73.9791398365744 130 554
21.3702218007995 82 224
77.0656102705136 130 668
18.6549287753221 63 77
53.8188118244234 108 344
23.7535343400493 86 317
43.1758561923954 116 283
45.6195992362738 106 465
28.2134726624248 89 224
72.3938005874484 139 643
57.5544178815618 122 381
51.6094763091039 119 287
58.3637970658776 116 395
48.3264240357046 100 564
98.3393810098838 146 692
34.9571167811616 95 219
100.286923734542 155 694
18.5600550817505 81 165
30.1661997183499 91 138
18.2720072544745 89 194
59.3618594893171 121 515
62.8175057169677 125 463
70.7864050330611 128 584
59.658829003235 110 378
55.710206611565 123 498
69.0954585549232 127 504
85.3836491598624 141 843
62.7686388964518 113 240
13.6589672634473 61 55
11.9070872173867 78 183
100.695318725134 156 862
63.1814451134829 123 558
31.7701478719377 82 295
31.8118205465282 104 266
96.9665201308805 154 726
30.0131905088571 100 286
54.8948898975949 120 448
86.8960320917804 141 520
13.6544113647592 79 109
68.9206088518565 127 653
36.3996085477515 92 371
47.805913617959 114 353
98.0626577094777 148 699
53.3774027676308 121 449
96.3037333264277 152 883
63.189684442375 109 243
26.7901694962865 76 75
85.9342189334439 140 520
58.3803189139493 124 501
65.3346964787693 123 624
96.3822107392021 148 757
76.278994030687 129 600
11.0681000850935 64 136
64.9501761216435 123 488
64.3816359459608 124 657
19.2270813790681 97 245
63.877363872879 131 525
35.9525733369859 94 250
64.0903458693277 126 631
45.962999137825 113 487
44.5153074562317 108 533
59.8476191903773 116 374
40.8626412055969 91 205
48.9878615142608 101 390
22.8238379416061 81 135
55.5074078979836 109 417
38.2864195597501 94 229
36.2050062413712 101 235
63.1532940534556 115 392
24.6059837894549 80 102
24.3542535156044 84 130
71.3346245239455 132 470
69.0200437364023 127 500
37.2884951711291 96 289
31.6217079802465 103 401
80.4351293350203 135 566
67.1262222843315 124 475
24.9749825140219 82 293
91.2041057418468 148 701
69.2754059874728 132 464
50.12086649222 119 611
31.9912953250474 82 311
41.7473763823387 111 268
97.1694342799243 154 814
62.0126346501938 119 576
27.8814278362512 93 210
30.827344491394 78 287
74.2812037557592 135 673
29.3878711222769 85 190
16.9247241297064 62 55
31.2686290001882 91 249
93.9152549566228 147 797
15.9644108139941 73 108
48.8962108155949 116 301
57.3090116133102 117 524
41.9974342845763 105 529
39.3439938168038 97 256
44.5845979547714 100 355
17.1223379988289 76 159
20.8960152868774 65 66
93.886808831253 141 702
70.534020388421 127 601
42.3785224484234 94 430
61.3754419551307 132 555
21.4503151341388 70 168
29.2110341339132 86 209
20.7061418592329 81 335
110.00775057179 167 1056
20.6271267008772 72 112
54.7026348624102 115 489
18.2506347144121 70 207
88.1238359895419 145 653
42.6749808977355 105 371
22.935169528632 80 106
56.3877029113292 120 350
29.9924471081305 79 166
35.6127691325365 99 387
33.5532411384258 84 144
27.385506596204 87 110
29.7575609905483 88 270
135.957617915879 184 1095
79.884726711901 137 753
48.181501355873 110 374
54.5058011720335 118 595
71.6469032688552 132 520
65.8048638567063 122 470
104.493026486398 159 799
46.600719110576 107 452
18.7423923691321 79 128
99.9936858054909 155 785
39.5938820480529 101 360
96.4412844557029 150 868
33.4587312501439 90 213
67.815652554364 134 615
21.1621893502001 75 169
82.5222629253474 139 646
72.8491697167759 126 428
56.259939012696 111 415
39.3263563047726 103 217
42.3570811849954 121 297
40.6664797939039 98 252
58.5621819569722 118 457
54.797672452267 118 376
55.0577472607222 121 690
80.9934647466986 138 623
16.1481701396258 80 192
62.229978329651 122 546
29.4173783458706 89 240
84.2971409309897 145 854
36.660332536409 92 180
50.0949140170609 124 314
103.908570788781 157 868
55.6548846619257 124 586
67.5097006664818 127 501
43.3881410137371 105 460
33.7885942962333 100 275
61.1750675679763 119 711
52.2298224858496 113 468
31.520878064393 93 242
46.4215881302628 101 371
60.8281753343216 117 429
51.0589874880445 112 388
56.0482850162357 117 281
30.3062443115281 82 331
39.380391176644 103 343
63.5780180807676 129 621
63.5493063339698 131 740
52.3351022404807 115 612
23.982778005333 77 144
87.3787281222525 145 780
42.1104587813414 103 245
55.7874249808638 119 358
83.2450446421487 136 706
33.4463751070562 86 294
20.1921428543957 91 195
25.9111034629379 93 224
48.9513424802007 105 439
92.3092800622679 153 912
52.0581472915675 110 355
80.0328995340848 134 693
20.5286713408013 76 208
89.3476591533487 142 753
37.1179669313228 93 234
90.2665707834184 151 833
110.751557819258 168 1001
37.2310325452832 95 262
35.531598729671 94 350
8.49230460398306 57 46
56.158313669454 113 249
109.835075287567 167 929
88.376294542746 146 811
49.8878614478765 109 525
18.0939462529705 77 121
62.9398334232147 117 447
82.5047832305146 137 665
56.5022904626022 116 373
83.5547340616832 140 707
26.1038077459993 83 293
119.552200229818 166 836
58.1146625931744 118 462
62.253194916944 120 626
69.442241902153 130 543
32.8450547612972 82 116
108.193651605612 165 894
83.5931355439588 135 634
59.4793356900091 115 392
49.049602168455 111 392
27.3039280908438 98 257
22.4714780486634 89 254
81.653978180134 139 580
14.6472993431836 68 166
7.276094359007 52 41
64.2113586339566 125 347
55.1066955106518 112 488
26.1115273894574 78 99
63.6328029040043 126 653
22.8983928589713 77 215
45.6105561833758 92 339
73.2947974680509 136 624
71.1403302159292 121 456
68.4249068490277 135 695
22.8815170985034 82 196
63.2152415937004 118 450
46.1823114223164 115 357
78.3614181899277 131 639
17.3343346146111 71 260
19.9017114734876 74 81
31.4702831994116 76 122
69.5514395081217 133 664
148.667277598831 184 1004
42.3538179771687 94 222
21.5533439727717 82 192
43.6923430026285 100 195
45.2374347574345 104 363
42.8311318484592 101 293
54.2871304781217 112 504
19.4193904773352 90 190
30.8018619526083 97 226
31.7092288069188 100 222
73.4847149102169 121 421
49.5212522983417 115 359
48.1597202323255 110 273
89.2581463928566 145 649
41.4261340396308 111 404
64.9921386358018 113 594
58.5149043976979 130 534
49.7638440939045 112 481
39.4434853341594 106 267
54.6418185846762 114 433
54.5463447883697 112 435
51.1702971503316 104 536
40.2494198749437 85 330
128.855705387877 172 928
105.331546010042 153 803
48.8540216609996 104 402
41.3713087970565 108 384
28.6263556178042 80 346
56.0583187799317 121 463
22.9630024253885 77 82
64.6582717519048 128 606
13.702901374909 60 68
62.0650691432318 128 482
31.4246327488055 88 233
21.1415022138287 73 91
19.0048097810724 72 162
7.7070693632522 50 50
60.6445086563317 123 472
24.6607258006251 84 159
88.1830191957239 146 816
21.6964209617583 90 254
27.8487952585521 86 159
33.5149212649518 104 363
71.6704685409862 125 619
19.9358551061526 74 173
23.7378760860735 95 245
14.3879966321389 72 151
30.4271664108465 89 278
42.5600193966143 101 344
67.7300553015663 130 716
100.788859728706 157 972
72.3303874596271 137 670
21.0647244617526 76 120
51.1182034696417 116 420
55.013689002749 110 470
36.8134211685905 104 310
