"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
724.610298756702 680 7920
597.0380630601 584 6387
505.186053358546 528 4501
432.469879011483 465 4303
602.140952487964 604 7392
737.367522326363 694 8922
722.05885404277 674 7783
515.391832214274 534 5752
520.494721642138 548 6273
420.988377798788 470 4607
441.399935510245 472 4146
463.087215578667 499 4909
568.972171206847 580 7174
438.848490796313 482 4978
686.338628047722 656 8378
917.244374658572 819 10234
473.292994434395 497 4152
887.902760448354 798 10352
427.366989583619 469 3838
572.799338277745 577 7035
724.610298756702 680 8581
417.16121072789 463 4570
716.955964614906 680 8524
438.848490796313 482 3890
560.042114708085 571 6827
774.363470678377 715 9114
554.939225280221 553 5865
690.16579511862 655 7569
539.630556996629 547 5289
264.074527891967 363 2458
952.964600653621 841 10827
473.292994434395 499 4519
783.29352717714 726 9004
489.877385074954 508 5399
642.964067910877 632 7562
623.828232556386 623 7920
466.914382649565 496 4946
702.92301868828 667 8133
332.963535168133 411 2799
512.840387500342 534 5783
605.968119558862 603 7094
339.342146952963 410 3038
362.305149378351 426 2983
410.78259894306 458 3956
787.120694248038 725 9420
501.358886287648 519 5383
479.671606219226 504 4703
743.746134111193 697 8971
401.852542444298 455 4255
600.865230130998 595 6900
498.807441573716 517 5106
417.16121072789 459 3723
898.108539304082 800 9936
820.289475529154 749 9452
835.598143812747 767 10047
708.025908116144 671 8616
568.972171206847 564 5447
690.16579511862 651 7502
478.39588386226 497 4423
554.939225280221 567 6647
604.692397201896 598 7162
760.330524751751 698 7712
424.815544869686 475 4648
594.486618346168 596 7124
639.136900839979 615 6758
628.931121984251 611 7028
540.906279353595 546 5454
438.848490796313 482 3762
579.177950062576 576 6446
515.391832214274 522 5110
632.758289055149 608 6491
310.000532742744 387 2878
470.741549720463 513 5740
594.486618346168 596 7528
479.671606219226 518 6184
329.136368097235 406 3617
535.803389925731 546 5936
583.005117133474 579 6589
602.140952487964 600 7214
366.132316449249 425 4071
526.873333426969 533 5414
583.005117133474 585 7105
577.90222770561 567 5486
460.535770864735 489 4505
352.099370522623 424 4189
674.857126835027 651 7858
825.392364957018 751 9281
502.634608644614 520 5619
602.140952487964 590 6904
663.375625622333 636 7348
465.638660292599 493 3814
509.013220429444 529 5026
882.79987102049 792 10320
695.268684546484 665 7837
722.05885404277 682 8475
246.214414894443 345 2014
501.358886287648 521 4970
595.762340703134 587 6492
608.519564272794 605 7446
424.815544869686 477 4348
611.071008986726 595 6106
673.581404478061 648 8131
858.561146238135 775 9833
398.0253753734 456 4037
376.338095304978 437 3669
702.92301868828 669 8490
445.227102581143 485 4660
639.136900839979 617 6821
667.202792693231 655 8425
676.132849191994 646 7764
570.247893563813 569 6507
531.976222854833 543 5412
496.255996859784 523 5782
853.458256810271 771 10083
552.387780566289 553 5305
807.532251959494 747 9638
903.211428731946 810 10621
705.474463402212 669 8455
457.984326150803 489 4750
738.643244683329 683 7978
473.292994434395 505 5022
496.255996859784 523 6048
700.371573974348 661 7552
760.330524751751 704 8752
529.424778140901 543 5677
600.865230130998 589 6536
556.214947637187 562 5908
341.893591666895 412 3013
563.869281778983 564 6150
705.474463402212 671 8514
613.622453700658 607 7038
677.408571548959 647 7826
773.087748321411 716 8988
382.716707089808 442 3969
538.354834639663 542 5581
753.951912966921 705 8622
341.893591666895 412 2682
644.239790267843 629 7749
561.317837065051 558 6013
398.0253753734 456 3614
542.182001710561 551 5788
533.251945211799 558 6560
510.28894278641 530 4751
574.075060634711 586 7438
639.136900839979 615 6739
626.379677270318 609 6868
706.750185759178 670 8181
613.622453700658 609 7750
380.165262375876 434 3689
722.05885404277 674 7970
400.576820087332 458 4371
520.494721642138 534 5274
581.729394776508 578 6443
833.046699098815 761 9860
877.696981592626 790 9798
306.173365671846 396 3108
586.832284204372 580 6252
688.890072761654 654 7832
620.001065485488 606 7224
489.877385074954 518 5574
510.28894278641 530 6016
474.568716791361 500 5064
804.980807245562 735 9159
905.762873445878 812 10735
682.511460976824 659 8095
715.68024225794 673 8338
620.001065485488 608 7419
392.922485945536 442 3090
706.750185759178 666 8396
764.157691822649 709 8909
583.005117133474 577 6534
654.445569123571 637 7450
576.626505348643 578 7104
510.28894278641 522 4182
542.182001710561 547 5630
671.029959764129 646 7527
479.671606219226 502 4328
394.198208302502 447 3791
557.490669994153 571 6653
585.556561847406 581 6556
713.128797544008 673 8142
734.816077612431 698 9121
469.465827363497 508 5369
572.799338277745 571 5751
974.651880722043 854 10560
914.69292994464 815 10325
686.338628047722 652 8008
503.91033100158 525 5930
406.955431872162 457 3592
718.231686971872 681 8375
1062.6767233527 921 12152
597.0380630601 592 7169
858.561146238135 787 10542
477.120161505294 506 5577
579.177950062576 578 6562
783.29352717714 730 9578
363.580871735317 427 3913
336.790702239031 410 2893
696.54440690345 656 7686
797.326473103766 727 8562
557.490669994153 561 5748
585.556561847406 587 6410
225.802857182987 335 1501
223.251412469054 327 2017
723.334576399736 677 7714
741.194689397261 693 8139
381.440984732842 449 4331
626.379677270318 615 7248
710.577352830076 669 7428
705.474463402212 657 7266
745.021856468159 694 8296
761.606247108717 711 9018
625.103954913352 618 8015
436.297046082381 480 4456
775.639193035344 714 8938
678.684293905926 654 8415
732.264632898499 684 8303
778.190637749276 722 9382
464.362937935633 510 5275
473.292994434395 501 5054
632.758289055149 620 7494
318.930589241506 400 3007
613.622453700658 597 6357
372.510928234079 448 4009
316.379144527574 404 3016
728.4374658276 689 8634
186.25546411704 312 1533
594.486618346168 580 6253
501.358886287648 515 4547
415.885488370924 460 4142
641.688345553911 623 6994
511.564665143376 523 5189
609.79528662976 596 6663
472.017272077429 504 4878
519.218999285172 531 5677
417.16121072789 471 3940
332.963535168133 407 2735
581.729394776508 578 6620
831.770976741849 758 9984
340.617869309929 405 3249
392.922485945536 442 2988
742.470411754227 702 9210
287.037530317356 369 2148
653.169846766605 642 8469
482.223050933158 500 4978
608.519564272794 595 6676
642.964067910877 628 7450
811.359419030392 748 9786
590.65945127527 583 6947
306.173365671846 396 3274
429.918434297551 477 4714
256.420193750171 359 2137
706.750185759178 678 8587
574.075060634711 574 6442
627.655399627285 614 6918
466.914382649565 498 4887
674.857126835027 639 7481
577.90222770561 581 6737
765.433414179615 708 8481
382.716707089808 434 3038
572.799338277745 579 6418
725.886021113668 681 8319
243.662970180511 343 2252
563.869281778983 566 6467
534.527667568765 545 6124
794.775028389834 731 9333
692.717239832552 653 7630
663.375625622333 646 7535
613.622453700658 607 7138
700.371573974348 667 8461
766.709136536581 713 9393
621.276787842454 611 7034
302.346198600948 391 2274
746.297578825125 705 9034
523.04616635607 546 5859
908.31431815981 812 10409
372.510928234079 430 2728
496.255996859784 517 5616
706.750185759178 670 7691
776.914915392309 733 9550
544.733446424493 549 5849
799.877917817698 743 9650
301.070476243982 376 2623
431.194156654517 476 3832
465.638660292599 517 5788
483.498773290124 503 4557
730.988910541533 685 8750
529.424778140901 541 5428
662.099903265367 637 7744
631.482566698183 611 6792
304.89764331488 389 2328
613.622453700658 597 6766
665.927070336265 644 8083
607.243841915828 592 6302
650.618402052673 630 7864
779.466360106241 723 9371
345.720758737793 413 3028
392.922485945536 450 4503
709.30163047311 670 7836
457.984326150803 487 4732
521.770443999104 539 5218
395.473930659468 452 3082
803.705084888596 732 8828
679.960016262891 645 7552
618.725343128522 609 7392
813.910863744324 752 10116
551.112058209323 566 6393
687.614350404688 655 8191
705.474463402212 671 8501
480.947328576192 505 4988
714.404519900974 670 7823
825.392364957018 755 9752
649.342679695707 629 7257
710.577352830076 683 9139
584.28083949044 582 6510
381.440984732842 439 3818
498.807441573716 531 5788
502.634608644614 524 4764
525.597611070002 542 5552
658.272736194469 638 8083
538.354834639663 548 5708
446.502824938109 482 4305
730.988910541533 695 9173
546.009168781459 550 4936
821.56519788612 748 9153
774.363470678377 721 9192
432.469879011483 467 4173
614.898176057624 604 6827
362.305149378351 428 3735
609.79528662976 600 6555
464.362937935633 496 4746
653.169846766605 630 7753
658.272736194469 628 7117
551.112058209323 554 6024
723.334576399736 683 8847
560.042114708085 565 6439
326.584923383303 404 2717
609.79528662976 598 7010
531.976222854833 551 6661
315.103422170608 399 3118
441.399935510245 476 4260
557.490669994153 551 5273
671.029959764129 638 6967
502.634608644614 512 4474
668.478515050197 652 8550
523.04616635607 538 4865
468.190105006531 499 5236
546.009168781459 554 6204
625.103954913352 604 6489
627.655399627285 606 6452
422.264100155754 457 3965
792.223583675902 733 9245
626.379677270319 611 7343
552.387780566289 551 5570
921.07154172947 822 10918
760.330524751751 714 9286
645.515512624809 630 7754
839.425310883645 760 9613
523.04616635607 542 5631
594.486618346168 584 6408
315.103422170608 393 2279
571.523615920779 580 6969
669.754237407163 637 7786
658.272736194469 630 7305
400.576820087332 460 3721
426.091267226653 478 5079
724.610298756702 678 7998
509.013220429444 533 5562
656.997013837503 635 7972
455.432881436871 489 4691
572.799338277745 573 6718
472.017272077429 500 4887
533.251945211799 542 5206
648.066957338741 620 6389
474.568716791361 498 4554
611.071008986726 607 7321
460.535770864735 495 5234
452.881436722939 489 4272
515.391832214274 532 5570
299.794753887016 391 3726
597.0380630601 586 6678
656.997013837503 637 8344
376.338095304978 439 3435
755.227635323887 702 8706
410.78259894306 458 2746
589.383728918304 594 6886
386.543874160706 441 2957
681.235738619858 656 8257
674.857126835027 661 8831
642.964067910877 618 7107
521.770443999104 549 6227
623.828232556386 613 7710
572.799338277745 571 6540
650.618402052673 624 6845
838.149588526679 767 10054
525.597611070002 534 5759
593.210895989202 585 6388
575.350782991677 565 5972
428.642711940585 464 4367
424.815544869686 465 3845
510.28894278641 520 5025
525.597611070002 540 5844
797.326473103766 735 9046
627.655399627285 616 7498
654.445569123571 639 7885
392.922485945536 448 4570
961.894657152383 854 11472
493.704552145852 517 5330
391.64676358857 447 3218
685.062905690756 649 7746
331.687812811167 398 2454
824.116642600052 752 9746
702.92301868828 659 7216
722.05885404277 686 8895
628.931121984251 603 6174
332.963535168133 413 3521
338.066424595997 411 2545
620.001065485488 610 6810
708.025908116144 669 7862
695.268684546484 655 7672
403.128264801264 448 3997
332.963535168133 409 2980
456.708603793837 492 4248
304.89764331488 383 3314
812.635141387358 743 9356
752.676190609955 700 8742
580.453672419542 575 6607
945.310266511825 839 10941
505.186053358546 524 5711
642.964067910877 620 7248
875.145536878693 786 9664
440.124213153279 487 5118
636.585456126047 631 7616
489.877385074954 512 5241
854.733979167237 768 9421
521.770443999104 545 6534
706.750185759178 670 8353
468.190105006531 493 4463
570.247893563813 587 7001
405.679709515196 462 4371
644.239790267843 629 8005
557.490669994153 561 6303
773.087748321411 712 9018
658.272736194469 636 7615
922.347264086436 825 10962
516.66755457124 539 5964
724.610298756702 686 8816
636.585456126047 615 6941
839.425310883645 762 9490
566.420726492915 568 6563
256.420193750171 359 2609
477.120161505293 504 4861
718.231686971872 675 7889
521.770443999104 535 5325
577.90222770561 569 5678
542.182001710561 547 6004
386.543874160706 443 4049
767.984858893547 718 9498
662.099903265367 633 7677
792.223583675902 727 9036
456.708603793837 490 4665
905.762873445878 810 10748
433.745601368449 468 3609
727.161743470635 680 7971
839.425310883645 770 10172
693.992962189518 658 7808
437.572768439347 479 4831
778.190637749276 720 9120
576.626505348643 584 7076
450.329992009007 489 3886
621.276787842454 605 6862
348.272203451725 409 3444
436.297046082381 488 5292
816.462308458256 742 9268
591.935173632236 592 7147
614.898176057624 596 6446
683.78718333379 654 8118
738.643244683329 687 8351
658.272736194469 636 8120
216.872800684224 324 2010
283.210363246458 382 2717
554.939225280221 557 6334
367.408038806215 430 3022
640.412623196945 624 7118
529.424778140901 535 5244
440.124213153279 469 3751
608.519564272794 597 6977
338.066424595997 407 3425
608.519564272794 595 6518
525.597611070002 536 5403
669.754237407163 639 7715
352.099370522623 420 3362
872.594092164761 786 10064
613.622453700658 601 7144
782.017804820174 723 9373
250.041581965341 356 2047
672.305682121095 633 6816
463.087215578667 497 5449
747.573301182091 692 8374
350.823648165657 419 3193
500.083163930682 522 5471
551.112058209323 552 5982
322.757756312404 399 2162
431.194156654517 470 4105
738.643244683329 687 8119
580.453672419542 581 7287
584.28083949044 576 6162
699.095851617382 660 7617
705.474463402212 667 8520
426.091267226652 472 4553
664.651347979299 647 8227
546.009168781459 546 5896
748.849023539057 703 9146
571.523615920779 568 6173
915.968652301606 816 10452
709.30163047311 672 8202
848.355367382407 765 9622
361.029427021385 421 2568
516.66755457124 525 4687
543.457724067527 552 6171
628.931121984251 613 6313
672.305682121095 645 8204
514.116109857308 541 5989
692.717239832552 657 8163
627.655399627285 612 7065
681.235738619858 644 7611
743.746134111193 693 8620
415.885488370924 456 3841
417.16121072789 467 4224
580.453672419542 575 6240
408.231154229128 458 4231
738.643244683329 703 9318
620.001065485488 612 7184
404.40398715823 455 3547
530.700500497867 546 5909
961.894657152383 852 11103
669.754237407163 635 7270
830.495254384883 761 9997
489.877385074954 506 5106
409.506876586094 475 4334
723.334576399736 691 9131
406.955431872162 455 4248
400.576820087332 448 3348
436.297046082381 470 3798
663.375625622333 632 7560
413.334043656992 464 4488
683.78718333379 652 7803
355.926537593521 425 4373
708.025908116144 673 8378
450.329992009007 481 4918
570.247893563813 573 6354
630.206844341217 618 7266
396.749653016434 447 3795
728.4374658276 683 8499
435.021323725415 473 2886
394.198208302502 441 3318
804.980807245562 737 9373
353.375092879589 413 3051
697.820129260416 661 8039
759.054802394785 701 8563
528.149055783935 546 6179
435.021323725415 473 3214
593.210895989202 587 6549
521.770443999104 543 5854
410.78259894306 462 4489
514.116109857308 533 5312
324.03347866937 400 2564
637.861178483013 622 7195
797.326473103766 727 8514
671.029959764129 640 7724
514.116109857308 525 4994
751.400468252989 697 8540
473.292994434395 501 4710
429.918434297551 479 4969
394.198208302502 445 4365
699.095851617382 666 8085
409.506876586094 455 3666
464.362937935633 506 5370
530.700500497867 542 5596
820.289475529154 747 9387
771.812025964445 719 9175
544.733446424493 545 6018
728.4374658276 695 9370
363.580871735317 437 4469
658.272736194469 634 7995
560.042114708085 559 5603
921.07154172947 822 11025
618.725343128522 599 6371
546.009168781459 550 5725
454.157159079905 488 4387
470.741549720463 497 5324
544.733446424493 567 6721
544.733446424493 551 6015
613.622453700658 597 6521
607.243841915828 590 6441
701.647296331314 672 8606
588.108006561338 583 6853
627.655399627285 620 7470
856.009701524203 777 10349
334.239257525099 404 2332
517.943276928206 534 5031
640.412623196945 622 7120
808.80797431646 754 10213
833.046699098815 767 10258
682.511460976824 657 7944
465.638660292599 495 4273
459.260048507769 492 4549
478.39588386226 515 5804
520.494721642138 538 5645
410.78259894306 448 2973
824.116642600052 754 10000
836.873866169713 764 9943
671.029959764129 652 7789
459.260048507769 492 4310
727.161743470635 686 8894
554.939225280221 557 5624
429.918434297551 489 5501
748.849023539057 699 8739
743.746134111193 697 8626
498.807441573716 527 5439
621.276787842454 603 6657
623.828232556386 615 7825
334.239257525099 404 3637
685.062905690756 655 7981
